idcomp	Directorio	Secuencia_p	Orden	Hogar	Regis	Area	P7250	P7260	P7280	P7280s1	P7310	P7320	P7350	P7350s1	P7360	P7390	P7390s1	P7420	P7420s1	P7420s2	P7420s3	P7420s4	P7420s5	P7420s6	P7420s7	P7420s8	P7420s7a1	P7422	P7422s1	P9460	Oficio1	Oficio2	Rama2d_d	Dsi	Dscy	Rama4d_d	Mes	Dpto	empleado
3753390121	3753390	1	2	1	70	50	26	48	1		2	26	1		9	1										1		2		2	55	55	90	1	2	9000	6	50	0
3753404111	3753404	1	1	1	70	66	32	50	4		2	32	4		1	1										1		2		2	98	98	60	1	2	6031	6	66	0
3753405131	3753405	1	3	1	70	66	4	48	1		2	4	1		9	1										1		2		2	85	85	45	1	1	4542	6	66	0
3753408121	3753408	1	2	1	70	66	104	48	1		2	52	1		6	2										1		2		2	59	59	85	1	2	8519	6	66	0
3753413111	3753413	1	1	1	70	66	12	24	4		2	12	4		1	1			1									2		2	54	54	85	1	1	8532	6	66	0
3753413131	3753413	1	3	1	70	66	1	48	1		2	32	1		3	1										1		2		2	45	53	74	1	1	7499	6	66	0
3753415111	3753415	1	1	1	70	66	6	50	1		2	6	1		9	4										1		2		2	33	33	93	1	1	9303	6	66	0
3753419111	3753419	1	1	1	70	66	32	48	4		2	192	4		1	1										1		2		2	41	41	52	1	2	5231	6	66	0
3753420121	3753420	1	2	1	70	66	30	48	1		2	30	1		5	1										1		2		2	80	95	45	1	2	4521	6	66	0
3753425121	3753425	1	2	1	70	66	32	48	1		2	32	1		5	1										1		2		2	79	79	18	1	2	1810	6	66	0
3753435121	3753435	1	2	1	70	66	8	50	4		2	204	1		3	1										1		2		2	54	53	55	1	1	5522	6	66	0
3753436121	3753436	1	2	1	70	66	2	40	1		2	2	4		4	1										1		1	80000	2	79	79	18	1	1	1810	6	66	0
3753437121	3753437	1	2	1	70	66	24	48	1		2	24	4		6	1										1		2		2	59	59	18	1	2	1810	6	66	0
3753726131	3753726	1	3	1	70	5	6	48	1		2	6	4		4	7										1		2		2	98	98	60	1	1	6041	6	5	0
3753727141	3753727	1	4	1	70	5	6	48	1		2	6	1		7	7										1		1	300000	2	98	45	52	1	1	5231	6	5	0
3753731121	3753731	1	2	1	70	5	4	24	1		2	8	4		1	2										1		2		2	59	54	55	1	1	5519	6	5	0
3753733111	3753733	1	1	1	70	5	4	48	4		2	98	4		1	7										1		2		2	79	79	18	1	1	1810	6	5	0
3753751111	3753751	1	1	1	70	5	8	48	1		2	98	2		9	1										1		2		2	5	20	75	1	1	7514	6	5	0
3753751141	3753751	1	4	1	70	5	8	8	1		1							.									.				45			1	1		6	5	0
3753776141	3753776	1	4	1	70	5	8	48	1		2	30	1		5	1										1		2		2	39	90	25	1	1	2529	6	5	0
3753788111	3753788	1	1	1	70	5	52	48	1		2	104	1		9	1										1		2		2	97	79	18	1	2	1810	6	5	0
3753799121	3753799	1	2	1	70	5	24	48	1		1							.									.				45			1	2		6	5	0
3753805141	3753805	1	4	1	70	5	8	48	1		2	8	1		3	4					1							2		2	97	45	52	1	1	5211	6	5	0
3753806141	3753806	1	4	1	70	5	8	48	1		1							.									.				13			1	1		6	5	0
3753809151	3753809	1	5	1	70	5	8	48	1		1							.									.				95			1	1		6	5	0
3753811111	3753811	1	1	1	70	5	20	48	1		2	20	1		8	3					1							2		2	79	79	18	1	2	1810	6	5	0
3753815111	3753815	1	1	1	70	5	24	48	3		1							.									.				54			1	2		6	5	0
3753817131	3753817	1	3	1	70	5	48	48	1		2	28	1		5	4					1							2		2	9	50	55	1	2	5521	6	5	0
3753820121	3753820	1	2	1	70	5	8	48	1		2	104	1		6	1										1		2		2	13	21	80	1	1	8042	6	5	0
3753824222	3753824	2	2	2	70	5	3	40	1		2	3	1		3	1										1		1	390000	2	39	39	55	1	1	5529	6	5	0
3753856111	3753856	1	1	1	70	5	32	72	1		2	24	1		4	4										1		2		2	37	95	36	1	2	3612	6	5	0
3753859121	3753859	1	2	1	70	5	12	60	1		2	52	1		9	2										1		2		2	32	38	74	1	1	7499	6	5	0
3753863121	3753863	1	2	1	70	5	36	48	1		2	120	1		2	1										1		2		2	45	45	50	1	2	5040	6	5	0
3753863141	3753863	1	4	1	70	5	12	50	1		2	4	1		4	1										1		1	200000	2	45	53	55	1	1	5521	6	5	0
3753864111	3753864	1	1	1	70	5	100	50	1		2	432	1		4	1			1				1					2		2	94	79	18	1	2	1810	6	5	0
3753865111	3753865	1	1	1	70	5	16	48	1		2	432	1		9	5					1							2		2	91	90	21	1	2	2102	6	5	0
3753871121	3753871	1	2	1	70	5	24	48	1		2	16	1		8	1										1		2		2	45	45	19	1	2	1939	6	5	0
3753871131	3753871	1	3	1	70	5	240	48	1		1							.									.				53			1	2		6	5	0
3753873121	3753873	1	2	1	70	5	24	48	1		2	120	1		7	1										1		2		2	57	58	50	1	2	5011	6	5	0
3753880131	3753880	1	3	1	70	5	32	48	1		2	32	1		8	1										1		2		2	97	55	52	1	2	5231	6	5	0
3753888121	3753888	1	2	1	70	5	8	48	1		2	8	1		9	1										1		2		2	34	34	60	1	1	6021	6	5	0
3753889121	3753889	1	2	1	70	5	4	24	1		2	48	4		9	1										1		2		2	13	39	75	1	1	7512	6	5	0
3753892121	3753892	1	2	1	70	5	1	48	1		2	48	1		3	2										1		2		2	38	45	52	1	1	5234	6	5	0
3753892141	3753892	1	4	1	70	5	52	48	1		1							.									.				32			1	2		6	5	0
3753895121	3753895	1	2	1	70	5	5	48	1		2	5	1		9	4										1		2		2	59	97	45	1	1	4560	6	5	0
3753904111	3753904	1	1	1	70	5	4	40	4		2	4	4		9	2										1		1	1000000	2	13	13	80	1	1	8060	6	5	0
3753907161	3753907	1	6	1	70	5	15	48	1		2	16	1		9	1										1		2		2	33	33	65	1	2	6596	6	5	0
3753910121	3753910	1	2	1	70	5	2	48	1		2	8	1		2	1										1		2		2	95	93	45	1	1	4552	6	5	0
3753915111	3753915	1	1	1	70	5	52	48	1		2	52	1		6	1										1		2		2	45	39	51	1	2	5139	6	5	0
3753918121	3753918	1	2	1	70	5	6	48	4		2	18	4		1	1										1		2		2	54	54	85	1	1	8532	6	5	0
3753920232	3753920	2	3	2	70	5	12	48	4		2	12	4		1	1										1		2		2	3	3	52	1	1	5272	6	5	0
3753925131	3753925	1	3	1	70	5	1	48	1		2	28	1		3	1										1		2		2	39	97	45	1	1	4521	6	5	0
3753937121	3753937	1	2	1	70	17	2	48	1		2	4	1		3	1										1		1	140000	2	38	45	52	1	1	5234	6	17	0
3753939121	3753939	1	2	1	70	17	5	30	1		2	88	1		4	2										1		2		2	38	17	92	1	1	9214	6	17	0
3753945141	3753945	1	4	1	70	17	20	25	1		2	4	1		6	2										1		1	310000	2	38	38	74	1	2	7499	6	17	0
3753955121	3753955	1	2	1	70	17	20	48	1		1							.									.				95			1	2		6	17	0
3753957151	3753957	1	5	1	70	17	2	48	1		2	12	1		3	1										1		2		2	45	53	55	1	1	5521	6	17	0
3753968121	3753968	1	2	1	70	17	4	48	4		2	24	4		1	1										1		2		2	55	55	74	1	1	7493	6	17	0
3753990131	3753990	1	3	1	70	17	3	48	3		2	24	1		6	2										1		2		2	54	45	24	1	1	2424	6	17	0
3753990191	3753990	1	9	1	70	17	4	48	1		1							.									.				3			1	1		6	17	0
3753993111	3753993	1	1	1	70	17	250	48	1		2	416	4		1	1			1									2		2	95	44	70	1	2	7020	6	17	0
3753995141	3753995	1	4	1	70	17	4	24	3		1							.									.				54			1	1		6	17	0
3753995222	3753995	2	2	2	70	17	16	40	8		2	16	6		9	1										1		2		2	60	45	92	1	2	9242	6	17	0
3753999111	3753999	1	1	1	70	17	1	48	1		2	2	2		9	5										1		1	90000	2	98	58	75	1	1	7522	6	17	0
3753999141	3753999	1	4	1	70	17	8	25	1		2	3	4		1	1										1		1	281000	2	53	54	85	1	1	8532	6	17	0
3754003121	3754003	1	2	1	70	17	8	48	1		2	104	1		9	1										1		2		2	38	97	15	1	1	1581	6	17	0
3754003131	3754003	1	3	1	70	17	20	48	1		2	52	1		9	1										1		2		2	45	97	15	1	2	1581	6	17	0
3754004131	3754004	1	3	1	70	17	77	48	1		1							.									.				97			1	2		6	17	0
3754005121	3754005	1	2	1	70	17	2	48	1		1							.									.				59			1	1		6	17	0
3754005131	3754005	1	3	1	70	17	2	8	8		2	4	8		3	1										1		2		2	62	62	1	1	1	111	6	17	0
3754006121	3754006	1	2	1	70	17	24	48	1		2	24	1		4	1										1		2		2	55	55	80	1	2	8060	6	17	0
3754006131	3754006	1	3	1	70	17	52	48	1		1							.									.				85			1	2		6	17	0
3754012121	3754012	1	2	1	70	17	104	48	1		2	24	4		1	8										1		2		2	59	59	93	1	2	9309	6	17	0
3754019111	3754019	1	1	1	70	17	8	55	1		2	8	1		7	1										1		2		2	95	95	45	1	1	4521	6	17	0
3754020111	3754020	1	1	1	70	17	6	48	1		2	6	1		9	8										1		2		2	45	45	51	1	1	5125	6	17	0
3754024121	3754024	1	2	1	70	17	28	48	1		2	28	1		9	1										1		2		2	39	39	64	1	2	6421	6	17	0
3754025111	3754025	1	1	1	70	17	4	50	1		2	4	8		4	1										1		1	800000	2	95	62	1	1	1	111	6	17	0
3754034141	3754034	1	4	1	70	17	2	48	1		1							.									.				45			1	1		6	17	0
3754044111	3754044	1	1	1	70	17	4	48	1		2	4	1		8	7										1		2		2	1	13	80	1	1	8043	6	17	0
3754049121	3754049	1	2	1	70	17	12	48	1		2	24	1		4	7										1		2		2	1	53	55	1	1	5521	6	17	0
3754049131	3754049	1	3	1	70	17	8	48	1		2	20	1		3	7										1		2		2	38	45	52	1	1	5233	6	17	0
3754053121	3754053	1	2	1	70	17	48	50	1		1							.									.				53			1	2		6	17	0
3754122141	3754122	1	4	1	70	5	8	48	1		2	8	1		9	3										1		2		2	75	75	17	1	1	1720	6	5	0
3754130111	3754130	1	1	1	70	5	48	48	1		2	48	1		4	2				1								2		2	98	53	55	1	2	5530	6	5	0
3754130121	3754130	1	2	1	70	5	2	48	1		2	2	1		7	1										1		2		2	3	75	50	1	1	5030	6	5	0
3754141121	3754141	1	2	1	70	5	2	48	1		1							.									.				79			1	1		6	5	0
3754155131	3754155	1	3	1	70	5	4	48	1		2	4	1		3	1			1									1	720000	2	87	95	45	1	1	4521	6	5	0
3754164131	3754164	1	3	1	70	5	2	48	1		2	2	1		8	1										1		1	750000	2	39	37	51	1	1	5134	6	5	0
3754164181	3754164	1	8	1	70	5	20	48	1		2	20	1		2	1										1		2		2	39	95	45	1	2	4521	6	5	0
3754169161	3754169	1	6	1	70	5	4	48	1		1							.									.				3			1	1		6	5	0
3754172131	3754172	1	3	1	70	5	5	48	1		2	22	1		4	2										1		2		2	37	97	37	1	1	3720	6	5	0
