idcomp	Directorio	Secuencia_p	Orden	Hogar	Regis	Area	P6440	P6450	P6460	P6460s1	P6400	P6422	P6424s2	P6424s3	P6424s1	P6426	P6430s1	P6480	P6480s1	P6500	P6510	P6510s1	P6510s2	P6590	P6590s1	P6600	P6600s1	P6610	P6610s1	P6620	P6620s1	P6585s2a1	P6585s3a1	P6585s4a1	P6585s3a2	P6585s2a2	P6585s1a2	P6585s2	P6585s3	P6585s1a1	P6585s4	P6585s1	P6580	P6580s1	P6580s2	P6630s3	P6630s4a1	P6630s3a1	P6630s2a1	P6630s1a1	P6630s4	P6630s2	P6630s1	P6640	P6765	P6765s1	P6772	P6750	P6760	P550	P6780	P6780s1	P6790	P6410	P6640s1	P9440	P6630s6	P6630s6a1	P6410s1	P6545s1	P6545	P6545s2	P6585s4a2	P6773s1	P6775	P6772s1	P388	P6800	P6810	P6810s1	P6850	P6830	P6830s1	P6870	P6880	P6880s1	P6920	P6930	P6940	P6960	P6980	P6980s1	P6980s2	P6980s3	P6980s4	P6980s5	P6980s6	P6980s7	P6980s8	P6980s7a1	P6990	P7020	P7026	P7028	P7028s1	P7040	P7045	P7050	P7050s1	P7070	P760	P9450	P6915s1	P6915	P7075	P7077	P390	P7090	P7100	P7110	P7120	P7130	P7140	P7140s1	P7140s2	P7140s3	P7140s4	P7140s5	P7140s6	P7140s7	P7140s8	P7140s9	P7140s9a1	P7150	P7160	P7170s1	P7170s5	P7170s6	P7180	P7240	P7240s1	P514	P515	Oficio	Rama2d	Oci	P6430	Rama4d	Rama4dp8	Rama2dp8	Inglabo	Mes	Dpto	empleado
3751916131	3751916	1	3	1	60	68	1	2	1		1	1	2	1	1	144		2		800000	1	6000	1	1	30000	2		2		2		74000				2		1	2		2	2	2			2				616000	2	2	1	1									12		2	2	2				2						68	48		.	48			9	7		1	1	1	12	1	1									1	1	10	1		2					2	1		1				2				2														1	1	1	2	1		1	1	77	15	1	1	1530			830000	6	68	1
3751917111	3751917	1	1	1	60	68	1	1			1	1	2	2	2	168		1		300000	2			2		2		2		2								2	2		2	2	2			2					2	2	2	2		.						.	12			2	2				2						68	48		.	48			2	6		2				1								1		2	1	48	2		2					0	2		3				2				2														1	1	1	2	8		2	1	45	52	1	1	5262			300000	6	68	1
3751917121	3751917	1	2	1	60	68	1	2	1		2	1	2	1	1	6		1		1000000	2			2		2		2		2		74000	75000		2	2		1	1		2	2	2			2					2	2	2	2		.						.	6	4		2	2		ENLACE EMPRESARIAL		2						68	48		.	48			9	7		1	1	1	7	1	1									1	1	48	1		2					12	1		1				2				1	1	2	1	2	1	2	2	2	2	2		2	1	2	2	2	2	3		2	2	77	55	1	1	5521	7491	74	1000000	6	68	1
3751918111	3751918	1	1	1	60	68	1	2	2	3	1	2	2	1	1	8		1		900000	2			2		2		2		2		74000	25000		2	1		1	1		2	2	2			2					2	2	2	2		.						.	12			2	2				2						68	102		.	110			9	7		1	1	1	1	1	1									1	1	48	4		2					0	1		1				2				1	1	2	2	1	1	2	2	2	2	2		2	9	1	1	2	2	8		2	2	39	60	1	1	6042			900000	6	68	1
3751918151	3751918	1	5	1	60	68	1	1			1	1	2	2	2	1		1		200000	2			2		2		2		2								2	2		2	2	2			2					2	2	2	2		.						.	1			2	2				2						68	20	2		25			1	2		2				1								1		2	1	4	1		2					98	2		2				2				2														1	1	1	2	3		1	1	54	95	1	3	9500			200000	6	68	1
3751919111	3751919	1	1	1	60	68	1	2	1		2	1	2	1	1	8		2		1000000	1	150000	1	2		2		2		2		74000	75000		2	1		1	1		2	2	2			2					2	2	2	2		.						.	12	1		2	2				2						68	48		.	48			7	7		1	1	1	6	1	1									1	1	72	1		2					0	1		1				2				2														1	1	1	2	3		1	1	55	70	1	1	7020	7491	74	1000000	6	68	1
3751920111	3751920	1	1	1	60	68	1	2	2	3	1	2	2	1	1	6		2		644300	2			2		2		2		2		74000				2		1	2		2	2	2			2					2	2	2	2		.						.	12			2	2				2						68	28	2		28			9	4		1	1	1	4	1	1									1	1	14	4		2					0	1		1				2				2														1	1	1	2	5		1	1	37	52	1	1	5244			644300	6	68	1
3751920121	3751920	1	2	1	60	68	1	2	1		1	1	2	1	1	6		2		644000	1	30000	2	2		2		2		2		74000				2		1	2		2	2	2			2					2	2	2	2		.						.	12			2	2				2						68	48		.	48			3	7		1	1	1	0	1	1									1	1	18	1		2					0	2		1				2				2														1	1	1	2	8		1	1	77	15	1	1	1511			644000	6	68	1
3751920131	3751920	1	3	1	60	68	1	1			1	1	2	2	2	5		1		600000	2			1	80000	2		2		2								2	2		2	2	2			2					2	2	2	2		.						.	5			2	2				2						68	72		.	72			2	7		2				1								1		2	1	24	1		2					8	2		2				2				2														1	1	2	2	3		1	1	45	52	1	1	5211			680000	6	68	1
3751921111	3751921	1	1	1	60	68	2									300																																							7		1	2800000	1		3		12											2015	1	1	68	48		.	48			5	7		1	2	2	8	1	1									1	1	12	1		2					0	2		1				2				2														1	1	1	2	5		1	1	94	33	1	5	3311			2800000	6	68	1
3751921121	3751921	1	2	1	60	68	2									264																																							7		1	2500000	1		3		12											2015	1	1	68	48		.	48			5	7		1	1	3	5	1	1									1	2				2						2		1				2				2														1	1	1	2	2		1	1	21	35	1	5	3592			2500000	6	68	1
3751921131	3751921	1	3	1	60	68	1	2	1		1	1	2	1	1	18		1		1200000	2			2		2		2		2								2	2		2	2	2			2				1000000	2	2	1	2		.						.	12			2	2				2						68	48		.	48			5	7		1	1	2	10	1	1									1	1	37	1		2					0	2		1				2				2														1	1	1	2	3		1	1	21	35	1	1	3592			1200000	6	68	1
3751921141	3751921	1	4	1	60	68	1	2	2	12	1	1	2	1	1	36		1		1200000	2			2		2		2		2		74000				1		1	2		2	2	2			2	8000000				1	2	2	2		.						.	12			2	2				2						68	46		.	46			5	7		2				1			1							2	2				2						2		3				2				2														1	1	1	2	3		1	1	4	35	1	1	3592			1200000	6	68	1
3751921151	3751921	1	5	1	60	68	1	2	2	6	1	1	2	2	2	4		1		650000	2			2		2		2		2		74000				2		1	2		2	2	2			2					2	2	2	2		.						.	12			2	2				2						68	40		.	40			9	7		1	1	1	0	1	1									1	1	25	1		2					0	1		1				2				2														1	1	1	2	3		1	1	39	65	1	1	6512			650000	6	68	1
3751922111	3751922	1	1	1	60	68	1	2	1		1	1	2	1	1	96		1		1000000	2			2		2		2		2		74000				1		1	2		2	2	2			2				950000	2	2	1	2		.						.	12			2	2				2						68	48		.	48			6	7		1	2	1	20	1	1									1	1	24	1		2					0	1		1				2				1	1	1	1	2	2	2	2	2	2	2		2	1	1	1	1	2	5		1	1	3	29	1	1	2929			1000000	6	68	1
3751922121	3751922	1	2	1	60	68	2									60																																							7		1	1000000	1		3		12											2015	2	1	68	48		.	48			1	7		2				1								1		2	1	36	1		2					0	2		3				2				2														1	1	1	2	3		1	1	41	52	1	4	5231			1000000	6	68	1
3751922131	3751922	1	3	1	60	68	1	2	2	12	1	1	2	1	1	24		2		800000	2			2		2		2		2		74000				2		1	2		2	2	2			2				750000	2	2	1	2		.						.	12			2	2				2						68	48		.	48			2	7		1	1	1	5	1	1									1	1	12	1		2					0	1		1				2				1	1	1	1	2	2	2	2	2	2	2		1	1	1	2	1	2	3		2	1	32	65	1	1	6599			800000	6	68	1
3751922141	3751922	1	4	1	60	68	2									48																																							6			1200000	1		3		12												3		68	50		.	50			1	6		2				1								1		2	1	12	1		2					0	2		3				2				2														1	1	1	2	9		1	1	84	50	1	4	5040			1200000	6	68	1
3751923111	3751923	1	1	1	60	68	2									156																																							7		1	3000000	1		3		12											2015	1	1	68	48		.	48			3	7		2				1								1		2	1	72	1		2					0	2		1				2				2														1	1	1	2	5		1	1	21	50	1	5	5020			3000000	6	68	1
3751923121	3751923	1	2	1	60	68	2									156																																								.						.	12														68	48		.	48			3	7		2				1								1		2	2				2						2		3				2				2														1	1	1	2	3		1	1	32	50	1	6	5020				6	68	1
3751926121	3751926	1	2	1	60	68	2									36																																							7		2	600000	1		3		12												2		68	48		.	48			1	1		2				1								1		2	1	36	3		2					98	2		3				2				2														1	1	1	2	3		1	1	41	52	1	4	5211			600000	6	68	1
3751926141	3751926	1	4	1	60	68	2									72																																							7		1	1000000	1		3		12											2015	2	1	68	48		.	48			2	1		2				1			1							2	1	5	1		2					0	2		2				2				2														1	1	1	1	2		1	2	92	17	1	4	1720			1000000	6	68	1
3751926151	3751926	1	5	1	60	68	2									72																																							7		1	1000000	1		3		12											2015	2	1	68	48		.	48			2	1		2				1			1							2	1	60	1		2					0	2		2				2				2														1	1	1	2	2		1	1	92	17	1	4	1720			1000000	6	68	1
3751926181	3751926	1	8	1	60	68	1	2	2	12	1	1	2	1	1	36		1		950000	2			2		2		2		2		74000				1		1	2		2	2	2			2				950000	2	2	1	2		.						.	12			2	2				2						68	48		.	48			9	7		1	1	1	14	1	1									1	1	12	1		2					4	1		1				2				2														1	1	1	2	8		1	1	32	80	1	1	8050			950000	6	68	1
3751927121	3751927	1	2	1	60	68	2									120																																							7		1		1		3		12											2015	1	1	68	80		.	80			2	7		2				1			1	1						2	1	60	1		2					0	2		3				2				2														1	1	1	2	2		1	2	6	85	1	5	8513				6	68	1
3751927131	3751927	1	3	1	60	68	1	2	1		1	1	2	1	1	25		1		3000000	2			2		2		2		2								2	2		2	2	2			2				3000000	2	2	1	2		.						.	12			2	2				2						68	60		.	48	2		9	7		1	1	1	9	1	1									1	1	24	1		2					1	1		1				2				2														1	1	1	2	3		1	1	8	85	1	1	8511			3000000	6	68	1
3751928111	3751928	1	1	1	60	68	2									12																																							6			900000	1		3		12												3		68	60		.	60			1	4		2				1								1		2	1	180	1		2					2	2		2				2				2														1	1	1	2	5		2	1	98	60	1	4	6031			900000	6	68	1
3751931111	3751931	1	1	1	60	68	1	1			1	2	2	2	2	300																																							3			800000	1		3		12												3		68	60		.	60			1	1		2				1								1		2	1	12	1		2					0	2		3				2				2														1	1	1	2	3		1	1	78	16	1	4	1600			800000	6	68	1
3751931121	3751931	1	2	1	60	68	1	1			1	1	2	2	2	24																																							3			550000	1		3		12												3		68	55		.	55			1	1		2				1								1		2	1	24	4		2					0	2		3				2				2														1	2	2	2	3		1	1	78	16	1	4	1600			550000	6	68	1
3751931131	3751931	1	3	1	60	68	1	2	2	12	1	1	2	1	1	108																																							4			850000	1		3		12												3		68	48		.	48			1	7		1	2	1	7	1	1									1	1	24	4		2					0	1		1				2				2														1	1	1	2	8		1	1	45	52	1	4	5235			850000	6	68	1
3751932111	3751932	1	1	1	60	68	1	1			1	1	2	2	2	12		1		700000	2			2		2		2		2								2	2		2	2	2			2					2	2	2	2		.						.	12			2	2				2						68	48		.	48			2	2		1	2	2	6	1		1								2	1	36	1		2					0	2		2				2				2														1	1	1	1	3		2	1	95	45	1	1	4521			700000	6	68	1
3751932131	3751932	1	3	1	60	68	1	2	1		1	1	2	1	1	12		1		647000	2			2		2		2		2		150000				1		1	2		2	2	2			2				300000	2	2	1	1									12		10	2	2				2						68	50		.	60			4	9		1	1	1	2	1	1									1	1	3	1		2					0	1		1				2				2														1	1	1	2	3		1	1	95	45	1	1	4559			647000	6	68	1
3751932141	3751932	1	4	1	60	68	1	2	1		1	1	2	1	1	12		1		900000	2			2		2		2		2		150000	51000		2	1		1	1		2	2	1	200000	1	2				700000	2	2	1	2		.						.	12			2	2				2						68	50		.	50			4	9		1	1	1	12	1	1									1	1	3	4		2					0	1		1				1	10	2	1	2														1	1	1	2	1		1	1	95	45	1	1	4559			900000	6	68	1
3751933121	3751933	1	2	1	60	68	2									108																																							5			700000	1		3		12												3		68	40		.	20	1		1	5		2				1								1		2	1	120	4		2					0	2		1				2				2														1	1	1	2	8		1	1	45	52	1	4	5261			700000	6	68	1
3751933131	3751933	1	3	1	60	68	1	2	2	12	1	1	2	1	1	84		2		800000	2			2		2		2		2								2	2		2	2	2			2				750000	2	2	1	2		.						.	12			2	2				2						68	48		.	48			9	7		1	1	1	22	1	1									1	1	12	4		2					0	1		1				2				2														1	1	1	2	3		1	1	98	60	1	1	6041			800000	6	68	1
3751933141	3751933	1	4	1	60	68	1	1			1	1	2	2	2	2																																							4			1200000	1		3		12												3		68	55		.	55			1	7		2				1								1		2	1	36	1		2					0	2		1				2				2														1	1	1	2	2		2	1	57	93	1	4	9302			1200000	6	68	1
3751933161	3751933	1	6	1	60	68	1	2	2	12	1	1	2	1	1	14		2		4500000	2			2		2		2		2								2	2		2	2	2			2				98	2	2	1	2		.						.	12			2	2				2						68	48		.	48			7	7		1	1	1	20	1	1									1	1	84	1		2					0	1		1				2				2														1	1	1	2	3		1	1	12	45	1	1	4521			4500000	6	68	1
3751934111	3751934	1	1	1	60	68	2									3																																							6			850000	1		3		12												3		68	50		.	50			1	4		2				1								1		2	1	8	1		2					0	2		3				2				2														1	2	1	2	5		2	1	98	60	1	4	6041			850000	6	68	1
3751934121	3751934	1	2	1	60	68	1	2	1		1	1	2	1	1	90		1		644350	2			1	60000	2		2		2		74000	50000		2	2		1	1		2	2	2			2				616000	2	2	1	2		.						.	12			2	2				2						68	48		.	48			9	7		1	2	1	8	1	1									1	1	24	1		2					2	1		1				1	24	1	1	1	1	1	1	2	2	2	2	2	2	2		2	1	1	2	2	2	3		1	1	55	85	1	1	8511			704350	6	68	1
3751934161	3751934	1	6	1	60	68	1	1			1	1	2	2	2	18		1		180000	2			1	80000	2		2		2								2	2		2	2	2			2					2	2	2	2		.						.	12			2	2				2						68	18	2		0	7	LOS PATRONES ESTAN VIAJANDO	1	2		2				1								1		2	1	36	6		2					0	2		3				2				2														1	1	1	2	3		1	1	54	95	1	3	9500			260000	6	68	1
3751935111	3751935	1	1	1	60	68	2									180																																							6			600000	1		3		12												3		68	60		.	60			1	2		2				1								1		2	1	90	8		2					0	2		2				2				2														1	1	1	2	8		1	1	61	1	1	4	140			600000	6	68	1
3751936111	3751936	1	1	1	60	68	2									36																																							6			800000	1		3		12												3		68	40		.	40			2	2		2				1								1		2	1	3	1		2					2	2		7				2				2														1	1	1	2	9		1	1	21	74	1	5	7499			800000	6	68	1
3751937111	3751937	1	1	1	60	68	2									156																																							6			280000	1		3		12												3		68	50		.	50			1	6		2				1								1		2	1	120	6		2					0	2		2				2				2														1	2	1	2	8		1	1	45	52	1	4	5262			280000	6	68	1
3751937121	3751937	1	2	1	60	68	2									120																																							6			150000	1		3		12												3		68	20	2		20			1	6		2				1								1		2	1	24	1		2					6	2		1				2				2														1	1	1	2	3		2	1	45	52	1	4	5262			150000	6	68	1
