idcomp	Directorio	Secuencia_p	Orden	Hogar	Regis	P6016	P6020	P6030	P6030s1	P6030s3	P6040	P6050	P6070	P6090	P6140	P6150	P6100	P6110	P6120	P6125	P6160	P6170	P6175	P6210	P6210s1	P6220	Area	Esc	Mes	Dpto
3748154161	3748154	1	6	1	10	6	1	1	11	1986	28	7	6	1			1	1	25774	2	1	2		5	11	2	17	11	6	17
3748155111	3748155	1	1	1	10	1	2	1	8	1954	60	1	5	1			1	2	99600	2	1	2		6	2	3	17	13	6	17
3748155121	3748155	1	2	1	10	2	1	1	5	1972	43	3	6	2	1	6				1	1	2		6	3	3	17	14	6	17
3748155131	3748155	1	3	1	10	3	1	1	2	1983	32	3	6	1			1	3	80544	2	1	2		6	6	5	17	17	6	17
3748156111	3748156	1	1	1	10	1	2	1	5	1990	25	1	6	2	1	4				1	1	1	1	6	1	2	17	12	6	17
3748157111	3748157	1	1	1	10	1	1	1	6	1965	50	1	3	1			1	1	30000	1	1	2		5	11	2	17	11	6	17
3748157121	3748157	1	2	1	10	2	2	1	5	1972	43	2	3	1			1	5		2	1	2		5	11	2	17	11	6	17
3748157131	3748157	1	3	1	10	2	1	1	7	2003	11	3	6	1			1	5		2	1	1	1	4	0		17	5	6	17
3748157141	3748157	1	4	1	10	2	1	1	1	2008	7	3		1			1	5		2	1	1	1	3	2		17	2	6	17
3748158111	3748158	1	1	1	10	1	1	1	10	1947	67	1	3	1			1	2	77322	2	1	2		3	5		17	5	6	17
3748158121	3748158	1	2	1	10	2	2	1	5	1952	63	2	3	1			1	5		2	1	2		3	5		17	5	6	17
3748158131	3748158	1	3	1	10	2	1	1	1	2006	9	4		1			1	5		2	1	1	1	3	3		17	3	6	17
3748159111	3748159	1	1	1	10	1	1	1	11	1964	50	1	3	1			1	1	34000	2	1	2		5	11	2	17	11	6	17
3748159121	3748159	1	2	1	10	2	2	1	7	1964	50	2	3	1			1	5		2	1	2		5	11	2	17	11	6	17
3748159131	3748159	1	3	1	10	3	2	1	7	1995	19	3	6	1			1	5		2	1	1	1	6	1	2	17	12	6	17
3748159141	3748159	1	4	1	10	1	1	1	7	2002	12	3	6	1			1	5		2	1	1	1	4	6		17	6	6	17
3748161111	3748161	1	1	1	10	1	1	1	5	1939	76	1	2	1			2	5		2	1	2		4	7		17	7	6	17
3748161121	3748161	1	2	1	10	2	2	1	6	1954	61	2	2	1			1	2	77322	2	1	2		4	7		17	7	6	17
3748162111	3748162	1	1	1	10	1	1	1	9	1981	33	1	6	1			1	3	80544	2	1	2		6	6	5	17	17	6	17
3748163111	3748163	1	1	1	10	1	1	1	7	1979	35	1	3	1			1	1	320000	2	1	2		6	7	5	17	18	6	17
3748163121	3748163	1	2	1	10	2	2	1	12	1980	34	2	3	1			1	5		2	1	2		6	6	5	17	17	6	17
